fips,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct
19055,317.4,54.9,9.5
19057,354.0,74.0,9.8
19059,319.9,56.9,8.5
19061,304.2,57.5,8.8
19063,334.6,54.4,10.0
19065,384.7,62.2,10.1
19067,348.7,65.9,9.8
19069,354.1,60.4,10.9
19071,320.6,74.9,9.3
19073,306.9,59.2,9.8
19075,364.9,67.0,8.6
19077,274.5,56.8,9.1
19079,295.9,52.2,9.5
19081,357.6,53.3,9.6
19083,369.1,59.4,9.9
19085,299.5,63.0,9.7
19087,377.7,70.3,10.2
19089,538.2,71.4,9.7
19091,338.5,55.6,10.2
19093,333.4,67.4,9.6
19095,327.7,59.3,9.1
19097,326.5,65.3,9.6
19099,282.2,65.1,9.7
19101,382.6,73.6,10.1
19103,277.7,48.4,9.7
19105,305.7,57.8,9.4
19107,313.5,78.2,10.4
19109,340.5,51.6,9.7
19111,422.7,76.4,10.0
19113,294.9,54.2,9.7
19115,301.3,57.4,10.1
19117,362.1,80.5,10.6
19119,249.1,62.3,9.8
19121,291.3,66.9,8.5
19123,409.0,81.0,9.7
19125,330.0,68.9,8.7
19127,469.1,60.2,10.8
19129,286.4,64.0,8.8
19131,390.4,76.0,9.3
19133,540.8,63.5,9.9
19135,423.3,84.6,9.1
19137,465.6,67.4,9.9
19139,302.8,57.7,10.3
19141,317.7,52.3,10.0
19143,279.6,50.8,10.6
19145,371.4,68.2,10.6
19147,317.4,54.1,9.4
19149,214.1,57.0,9.0
19151,368.1,58.6,9.8
19153,318.2,67.0,9.6
19155,341.6,67.7,9.7
19157,318.0,70.7,9.5
19159,394.3,74.2,9.1
19161,336.1,59.5,9.2
19163,328.8,68.6,9.4
19165,332.8,53.9,9.3
19167,226.4,48.8,8.9
19169,250.4,53.1,9.8
19171,390.0,64.8,10.7
19173,382.4,65.6,10.0
19175,361.9,71.9,9.8
19177,409.2,78.2,10.5
19179,446.6,84.9,11.5
19181,327.0,68.9,8.4
19183,295.6,53.9,9.6
19185,396.6,97.6,10.0
19187,411.0,61.4,10.1
19189,346.0,53.3,9.3
19191,264.2,55.7,8.5
19193,308.7,68.9,11.0
19195,324.6,62.3,9.4
19197,367.6,59.1,10.9
20001,367.2,75.1,10.1
20003,342.7,75.0,10.2
20005,345.0,67.6,10.0
20007,456.2,142.5,10.0
20009,341.8,66.2,10.8
20011,383.5,76.7,10.4
20013,385.0,84.1,10.3
20015,338.2,75.7,9.3
20017,346.7,69.9,10.8
20019,402.1,68.5,11.3
20021,508.2,86.6,10.6
20023,266.0,58.1,11.1
20025,374.2,87.6,9.5
20027,305.4,66.9,9.7
20029,349.9,67.4,10.0
20031,358.8,78.2,9.7
20033,426.4,103.1,9.7
20035,373.2,74.7,10.9
20037,418.8,83.8,10.8
20039,309.5,58.4,9.4
20041,308.9,70.3,9.3
20043,349.1,85.0,9.4
