fips,lung_cancer_death_rate,lung_cancer_avg_annual_count
18131,45.9,9
22105,45.9,72
29075,45.9,4
01009,45.9,39
13311,45.9,22
37103,45.9,8
17077,45.8,29
01007,45.8,14
13049,45.8,7
39125,45.8,12
26105,45.8,24
37085,45.8,67
37049,45.8,68
48361,45.8,49
26121,45.7,110
26133,45.7,17
37083,45.7,35
54055,45.7,43
37173,45.7,10
01115,45.7,58
37093,45.7,21
01055,45.7,69
22063,45.6,72
29145,45.6,39
28099,45.6,16
13119,45.6,17
26023,45.6,29
55023,45.6,13
48099,45.6,32
29079,45.6,8
18073,45.5,22
12077,45.5,4
13295,45.5,46
51025,45.5,12
40137,45.5,30
18043,45.5,48
13187,45.4,20
48497,45.4,39
40031,45.4,59
39155,45.4,147
28057,45.4,15
05117,45.3,7
48007,45.3,22
42131,45.3,19
28123,45.3,15
20133,45.3,11
26075,45.3,104
22007,45.3,13
51590,45.3,30
48401,45.3,31
26025,45.3,84
51117,45.2,27
37107,45.2,38
29215,45.2,18
39101,45.2,42
05041,45.2,8
51077,45.2,13
21101,45.1,30
17119,45.1,165
51119,45.1,11
51193,45.1,17
28159,45.1,12
37091,45.1,15
05037,45.1,11
21055,45.1,6
01113,45.1,32
13143,45.1,17
01063,45.1,6
24015,45.0,61
36101,45.0,65
37131,45.0,16
47125,45.0,81
42083,45.0,28
01109,45.0,17
37065,45.0,35
39135,45.0,28
55067,45.0,16
17193,45.0,10
24045,44.9,58
20125,44.9,21
08099,44.9,7
13227,44.9,25
19045,44.9,32
13183,44.9,6
26101,44.9,22
22075,44.8,12
48499,44.8,41
26147,44.8,108
26085,44.8,11
18025,44.8,8
19155,44.8,57
40011,44.7,6
01057,44.7,12
37117,44.7,18
18097,44.7,441
05087,44.7,11
13321,44.7,14
18177,44.7,44
24039,44.7,15
28019,44.7,6
05139,44.7,24
05147,44.7,5
13115,44.6,57
31143,44.6,4
17065,44.6,6
22087,44.6,20
26155,44.6,46
45039,44.6,16
26027,44.6,37
29071,44.6,68
48179,44.5,12
36035,44.5,36
17075,44.5,20
13313,44.5,54
13269,44.5,5
01051,44.4,50
37071,44.4,134
47145,44.4,42
18017,44.3,23
26017,44.3,71
05115,44.3,36
37007,44.3,15
48379,44.3,10
28127,44.3,17
13205,44.3,13
05097,44.3,8
34033,44.3,42
17023,44.3,11
48075,44.2,4
46077,44.2,4
13015,44.2,56
18075,44.2,13
51009,44.2,22
51191,44.2,41
51101,44.2,11
41001,44.2,14
13197,44.1,6
13293,44.1,18
37167,44.1,40
