tract_fips,uninsured_pct,high_blood_pressure_pct,coronary_heart_disease_pct,smoking_pct,depression_pct,diabetes_pct,food_insecurity_pct,fair_poor_health_pct,housing_insecurity_pct,transportation_barrier_pct,loneliness_pct,physical_inactivity_pct,mental_distress_pct,obesity_pct,utility_shutoff_threat_pct,stroke_pct,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP
45019002401,11.3,45.9,8.8,15.6,20.1,19.4,21.8,24.1,16.1,10.4,30.7,30.1,15.4,37.8,12.0,5.7,0.41,0.359,0.2371,0.6659,0.5422,1425,443,17,61,92,92
45019002402,13.5,47.8,9.4,18.1,20.6,21.9,29.6,28.3,20.6,14.0,32.1,34.5,17.0,41.2,16.4,6.5,0.5297,0.4154,0.6782,0.7732,0.4104,2718,1091,0,337,163,63
45019002503,12.6,45.6,8.8,15.3,19.8,19.5,22.2,24.6,16.0,10.4,31.0,30.3,15.1,37.0,11.6,5.8,0.4735,0.4657,0.7426,0.5382,0.2579,2518,471,56,157,160,246
45019002504,11.2,40.9,7.7,12.9,20.0,16.1,16.8,20.3,12.7,8.2,29.8,25.8,14.3,33.8,8.9,4.7,0.6701,0.561,0.8183,0.611,0.5611,4604,957,66,452,640,322
45019002604,9.4,31.3,5.6,9.8,21.1,10.6,11.3,14.5,9.5,6.3,29.4,19.4,14.1,28.8,6.3,3.1,0.5936,0.5443,0.5032,0.5684,0.6234,3614,563,158,365,378,169
45019002605,11.7,36.9,6.7,12.1,20.4,14.2,16.8,19.0,12.9,8.6,30.6,24.5,14.8,32.8,9.0,4.2,0.6807,0.6193,0.2754,0.618,0.8715,3489,827,76,443,401,269
45019002606,5.8,33.1,6.0,7.0,19.5,10.4,5.7,11.3,5.1,3.6,25.4,15.8,11.0,25.1,3.4,3.1,0.0235,0.034,0.0688,0.1433,0.1317,2429,208,10,130,64,41
45019002611,7.7,28.0,4.4,9.4,22.5,9.0,9.0,12.2,8.4,5.4,29.7,16.9,14.7,28.1,5.4,2.5,0.3764,0.4184,0.1224,0.3908,0.6121,2906,309,87,534,224,45
45019002612,10.8,32.0,5.3,11.9,22.0,11.7,17.2,17.4,13.6,9.1,32.0,22.6,16.2,32.1,9.5,3.3,0.4878,0.3785,0.4063,0.5498,0.6437,6336,1257,44,1003,526,155
45019002613,10.4,30.9,5.5,10.8,22.2,10.7,12.6,15.4,10.4,7.0,31.2,20.7,15.5,29.3,6.8,3.2,0.6954,0.553,0.2568,0.5518,0.9621,6285,915,157,976,960,212
45019002614,10.3,31.5,5.2,11.5,21.9,11.2,14.5,16.1,11.8,7.6,31.6,21.5,15.7,30.6,7.8,3.2,0.612,0.5628,0.4912,0.3921,0.7345,3527,810,15,462,535,241
45019002701,10.0,32.1,4.9,9.9,20.7,11.8,15.5,16.0,12.8,8.4,32.5,21.0,15.4,31.4,8.7,3.4,0.6345,0.5182,0.3367,0.8131,0.7809,3411,840,71,469,190,164
