year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text,tract_fips
2023,SC,South Carolina,Charleston,45019,45019003115,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,4.7,4.2,5.3,7372,5826,"{'type': 'Point', 'coordinates': [-80.0612119, 32.9799447]}",45019003115,DISABLT,SELFCARE,CrdPrv,Self-care Disability,45019003115
2023,SC,South Carolina,Charleston,45019,45019002106,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,7.7,6.0,9.6,3543,2898,"{'type': 'Point', 'coordinates': [-80.0630058, 32.7576426]}",45019002106,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps,45019002106
2023,SC,South Carolina,Charleston,45019,45019003111,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,14.8,12.0,18.0,5102,3827,"{'type': 'Point', 'coordinates': [-80.02956, 32.8740625]}",45019003111,PREVENT,ACCESS2,CrdPrv,Health Insurance,45019003111
2023,SC,South Carolina,Charleston,45019,45019003111,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,33.2,28.9,37.5,5102,3827,"{'type': 'Point', 'coordinates': [-80.02956, 32.8740625]}",45019003111,HLTHOUT,OBESITY,CrdPrv,Obesity,45019003111
2023,SC,South Carolina,Charleston,45019,45019004701,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,3.6,2.8,4.4,5804,4449,"{'type': 'Point', 'coordinates': [-79.8675218, 32.7801651]}",45019004701,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat,45019004701
2023,SC,South Carolina,Charleston,45019,45019004609,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,33.2,30.3,36.4,7846,5973,"{'type': 'Point', 'coordinates': [-79.7305349, 32.8538067]}",45019004609,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,45019004609
2023,SC,South Carolina,Charleston,45019,45019002604,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,6.6,5.6,7.8,3619,2952,"{'type': 'Point', 'coordinates': [-80.0002429, 32.8222997]}",45019002604,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,45019002604
2023,SC,South Carolina,Charleston,45019,45019004400,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,84.5,82.4,86.3,2240,1755,"{'type': 'Point', 'coordinates': [-79.9619676, 32.830558]}",45019004400,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication,45019004400
2023,SC,South Carolina,Charleston,45019,45019001500,BRFSS,Disability,Any disability among adults,%,Crude prevalence,21.9,18.6,25.7,1520,1312,"{'type': 'Point', 'coordinates': [-79.9522715, 32.8070997]}",45019001500,DISABLT,DISABILITY,CrdPrv,Any Disability,45019001500
2023,SC,South Carolina,Charleston,45019,45019004618,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,23.5,21.1,26.0,6534,4867,"{'type': 'Point', 'coordinates': [-79.8001535, 32.8712607]}",45019004618,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,45019004618
