year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text,tract_fips
2023,SC,South Carolina,Charleston,45019,45019005602,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,7.3,6.7,8.0,6558,5367,"{'type': 'Point', 'coordinates': [-80.0934286, 32.8114143]}",45019005602,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,45019005602
2023,SC,South Carolina,Charleston,45019,45019004902,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,6.5,5.6,7.6,2509,2128,"{'type': 'Point', 'coordinates': [-79.7351795, 32.8133989]}",45019004902,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,45019004902
2023,SC,South Carolina,Charleston,45019,45019001100,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,10.1,8.2,12.1,2988,2500,"{'type': 'Point', 'coordinates': [-79.9565809, 32.7905077]}",45019001100,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat,45019001100
2023,SC,South Carolina,Charleston,45019,45019002103,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,9.8,8.1,11.8,4771,3912,"{'type': 'Point', 'coordinates': [-80.0718045, 32.6727041]}",45019002103,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity,45019002103
2023,SC,South Carolina,Charleston,45019,45019002612,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,23.3,20.2,26.5,6677,5472,"{'type': 'Point', 'coordinates': [-80.0204648, 32.8174841]}",45019002612,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support,45019002612
2023,SC,South Carolina,Charleston,45019,45019002605,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,32.8,28.6,37.3,3907,3291,"{'type': 'Point', 'coordinates': [-79.99282, 32.8034113]}",45019002605,HLTHOUT,OBESITY,CrdPrv,Obesity,45019002605
2023,SC,South Carolina,Charleston,45019,45019005702,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,9.2,7.8,11.0,3790,3021,"{'type': 'Point', 'coordinates': [-80.108165, 32.8683707]}",45019005702,DISABLT,MOBILITY,CrdPrv,Mobility Disability,45019005702
2023,SC,South Carolina,Charleston,45019,45019003116,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,29.2,26.4,31.8,4736,3864,"{'type': 'Point', 'coordinates': [-80.0462872, 32.9509983]}",45019003116,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,45019003116
2022,SC,South Carolina,Charleston,45019,45019002701,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,63.6,60.5,66.5,2597,2190,"{'type': 'Point', 'coordinates': [-80.0287926, 32.7976991]}",45019002701,PREVENT,DENTAL,CrdPrv,Dental Visit,45019002701
2023,SC,South Carolina,Charleston,45019,45019002200,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,12.0,10.2,13.7,2848,2413,"{'type': 'Point', 'coordinates': [-80.1839478, 32.6576817]}",45019002200,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,45019002200
