tract_fips,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,E_TOTPOP,E_POV150,E_UNEMP,E_HBURD,E_UNINSUR,E_NOHSDP
45019005002,0.5655,0.6453,0.3929,0.7041,0.4142,3401,1179,58,317,169,405
45019001100,0.5983,0.7413,0.377,0.6267,0.405,3006,1199,92,469,291,132
45019002108,0.1676,0.3107,0.4098,0.3026,0.0713,1869,224,0,58,254,230
45019002801,0.0526,0.1274,0.0593,0.3438,0.1209,5033,468,28,566,200,60
45019003200,0.3898,0.489,0.1956,0.5628,0.3859,1786,265,21,170,26,37
45019004614,0.0766,0.0428,0.4765,0.1711,0.1152,6816,421,48,646,108,5
45019005100,0.4537,0.6306,0.4025,0.4207,0.2668,1420,275,67,274,104,58
45019002006,0.238,0.0875,0.288,0.4348,0.5598,5085,585,54,315,70,152
45019002604,0.5936,0.5443,0.5032,0.5684,0.6234,3614,563,158,365,378,169
45019003107,0.6255,0.7125,0.395,0.7992,0.4404,6367,1066,157,1017,1104,551
45019003900,0.8071,0.7529,0.2924,0.7136,0.9566,4049,719,21,257,189,720
45019004621,0.2843,0.1097,0.5897,0.0821,0.5928,5422,367,53,465,213,131
45019005702,0.2649,0.3573,0.0889,0.3546,0.4533,4018,708,121,493,115,43
45019000200,0.0101,0.0489,0.0303,0.0151,0.1077,1232,77,6,149,0,32
45019002008,0.5478,0.4648,0.2238,0.5136,0.82,4356,754,69,594,399,154
45019002606,0.0235,0.034,0.0688,0.1433,0.1317,2429,208,10,130,64,41
45019003109,0.4574,0.3256,0.6176,0.6623,0.4412,3613,814,16,365,230,141
45019004300,0.8631,0.9057,0.3443,0.9127,0.8605,2198,1210,30,496,401,466
45019004701,0.0228,0.1277,0.0479,0.1808,0.0567,6617,250,114,443,540,92
45019005900,0.1294,0.2514,0.0274,0.4536,0.3205,6633,335,97,488,256,129
45019002004,0.0338,0.0587,0.0634,0.0,0.1985,684,45,0,59,21,34
45019002503,0.4735,0.4657,0.7426,0.5382,0.2579,2518,471,56,157,160,246
45019003105,0.9227,0.9144,0.8233,0.852,0.8137,3628,1492,67,632,1086,466
45019003700,0.9282,0.9456,0.8359,0.8798,0.7526,3161,1464,231,740,297,418
45019004619,0.1897,0.1679,0.0582,0.1973,0.6537,5491,902,26,525,172,217
45019005602,0.368,0.3662,0.2245,0.4452,0.5255,6275,1269,57,923,457,79
