Date,ACHC,BKNG,CCL,CYH,DIS,DKNG,EHC,EXPE,FUN,HCA,LYV,MANU,MSGS,MTN,NCLH,PLNT,RCL,SPY,THC,UHS,XLV,XLY
2015-01-02,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0
2015-01-05,98.56618770104195,96.10526000707641,99.51764058018186,96.87790818613249,98.53867074927955,,99.6779397463741,98.18095998597246,101.90271965391256,97.0799209533345,97.70642054675285,99.62048107318127,,99.54670597168466,98.56530626831534,,98.50513404700891,98.19406434616931,97.66979049934473,97.9543813821459,99.4900310172989,98.08742756766664
2015-01-06,97.01567034146629,94.5624514924899,100.48235941981814,97.80710381224628,98.01600324207492,,98.89961469269228,98.14598592033211,105.01056359367466,96.91763433657454,94.8776752278137,97.97595545069214,,97.51240033967957,97.66595260218304,,98.79442872257391,97.26916437168939,96.71380653003855,97.99045567412841,99.1549112290143,97.11018534437503
2015-01-07,101.08369711710516,93.65267424605439,100.8550699680117,101.2822889346855,99.0186689481268,,101.93236918620694,98.14598592033211,104.5665692065727,98.67515107408687,95.98624142513358,98.10246392862116,,98.48536544768314,98.95074588766248,,100.28932649882796,98.48122350989537,101.53355999164278,100.9191876721408,101.48627858893113,98.6458456543258
2015-01-08,102.96765387276045,94.81550708720253,102.34596196043697,103.15926855995865,100.04267831412103,,104.34782108840118,102.4836420418599,106.87101252509532,101.29779187762999,98.73853239437729,99.30422939926366,,99.75673485065552,99.95717246801516,,101.88064876176746,100.22879932867306,103.88369009857736,101.95551221960748,103.2201919325476,100.12570583806932
2015-01-09,102.9843296585337,92.11075262847706,101.51278391901542,102.3601572334462,100.5333213256484,,106.0386527488402,102.08720295146993,107.82238402904676,100.91927156636035,96.67431599021653,96.52118603812822,,98.81702988536918,96.78800861778491,,101.16936701196322,99.42557376530281,102.8679595054037,101.69416472003479,102.3022437345929,98.9669636914372
2015-01-12,101.55051735957568,91.06175813516941,101.49088203249508,95.09385327022837,100.75734870317004,,105.77026664933477,99.31199662580829,109.7462857521859,97.60713254969589,95.56574979289665,100.94876803568941,,100.05525850734233,97.0449656411775,,100.37372179212494,98.64675322386383,93.60685293167961,95.737608206649,102.34596610592888,98.4364668111578
2015-01-13,102.91763923533827,90.8726273479639,100.76735286269809,94.55491912084801,101.53600504322766,,103.59635993735996,99.13710734147342,109.06974400640273,97.52600594319757,96.59786164052106,102.46677216631291,,101.68048765946054,97.73018981590205,,100.38579341653066,98.36931470446633,91.93387908602253,95.74661596168423,101.89424437387564,98.4364668111578
2015-01-14,100.73357557530346,90.68436640205583,99.71493683760862,94.25757377555419,100.51201368876082,,104.75039640543355,99.56854893170343,107.65324275410337,95.25481726805317,94.34250936212166,102.46677216631291,,100.37592376271583,96.44539653042263,,98.78237831367682,97.77540221975994,90.12149138635111,93.9983830755173,101.73398049516207,97.24979137627385
2015-01-15,98.48282785202206,87.40782773594722,99.03529112029395,93.34696652248597,100.64001260806916,,106.89749286592851,96.23367225319707,106.7653006878801,94.72754999875292,93.5015260976478,101.58127789049294,,98.14262424256783,95.67451729172835,,98.25196938262658,96.87970913961776,89.08584018689814,95.21492041947724,100.64114952701809,95.99336125292879
2015-01-16,98.59953291263967,88.28082434006974,99.67111314470752,93.21687364495521,101.52535122478386,,110.03757267432948,97.34140232733924,106.91328324758722,94.4166834427789,95.68043131743983,102.27702897032431,,99.41402945405562,96.03853906082482,,100.04819102783411,98.1502629969331,89.58374897908791,97.52183605308879,102.53538047058458,97.26377614320788
2015-01-20,97.91597197475838,89.74571383568714,99.49572873373133,90.13194999924943,101.0560248559078,,109.68868684032064,97.87778507062345,108.03378434948685,91.73991184078787,94.99235675235688,101.5180171445601,,98.22001838051095,96.35974146645292,,100.06025204448552,98.35953111424482,89.02609356303064,96.53957967175424,102.53538047058458,96.70532785186852
2015-01-21,96.91564106662193,91.54773505691534,100.0438336528313,92.54785519597351,100.44800972622478,,110.44016332026494,98.04101633307822,109.4925563242781,93.64601408480814,94.72477381951087,100.31624516694929,,97.75564161668046,96.33833178471875,,100.31341670886785,98.85606630252768,89.04600657182472,97.584969670045,102.73937343578869,97.33354895447708
2015-01-22,99.01633851768801,91.91110699499934,101.40320476690228,93.56996695352692,101.493344740634,,117.23028488459788,99.94167197833313,110.99363405254672,95.17365725779155,96.82721739851935,101.77102108648151,,99.74573566834296,98.07280190326433,,102.62808173826299,100.32614964828532,90.67914680240841,99.45934718657303,103.9632976512404,99.16236984954324
