Date,ACHC,BKNG,CCL,CYH,DIS,DKNG,EHC,EXPE,FUN,HCA,LYV,MANU,MSGS,MTN,NCLH,PLNT,RCL,SPY,THC,UHS,XLV,XLY
2015-01-02,59.97999954223633,44.73219680786133,38.30044174194336,44.471073150634766,84.716796875,,24.885650634765625,80.4952621459961,32.66848373413086,68.519775390625,26.15999984741211,14.656200408935547,,63.918270111083984,46.70000076293945,,71.92280578613281,169.68783569335938,50.209999084472656,105.78788757324219,56.807289123535156,31.573726654052734
2015-01-05,59.119998931884766,42.989994049072266,38.11569595336914,43.082645416259766,83.47880554199219,,24.805503845214844,79.03102111816406,33.29007339477539,66.5189437866211,25.559999465942383,14.600577354431152,,63.62853240966797,46.029998779296875,,70.84765625,166.62338256835938,49.040000915527344,103.62387084960938,56.5175895690918,30.96985626220703
2015-01-06,58.189998626708984,42.299861907958984,38.48518753051758,43.49586868286133,83.03601837158203,,24.611812591552734,79.00286865234375,34.30535888671875,66.40774536132812,24.81999969482422,14.359552383422852,,62.32823944091797,45.61000061035156,,71.05572509765625,165.05393981933594,48.560001373291016,103.66203308105469,56.32721710205078,30.661304473876953
2015-01-07,60.630001068115234,41.89289855957031,38.62793731689453,45.04132080078125,83.88544464111328,,25.366533279418945,79.00286865234375,34.16031265258789,67.61199188232422,25.110000610351562,14.378093719482422,,62.95014190673828,46.209999084472656,,72.13089752197266,167.11065673828125,50.97999954223633,106.7602767944336,57.65160369873047,31.146169662475586
2015-01-08,61.7599983215332,42.41305923461914,39.19895553588867,45.876033782958984,84.7529525756836,,25.967634201049805,82.49447631835938,34.91313934326172,69.40901947021484,25.829999923706055,14.554226875305176,,63.762779235839844,46.68000030517578,,73.27542114257812,170.07608032226562,52.15999984741211,107.85658264160156,58.636592864990234,31.61341667175293
2015-01-09,61.77000045776367,41.203163146972656,38.879844665527344,45.520660400390625,85.16860961914062,,26.388408660888672,82.17536163330078,35.22393798828125,69.149658203125,25.290000915527344,14.14633846282959,,63.16213607788086,45.20000076293945,,72.76384735107422,168.71310424804688,51.650001525878906,107.58010864257812,58.11513137817383,31.24755859375
2015-01-12,60.90999984741211,40.733924865722656,38.871456146240234,42.28925704956055,85.3583984375,,26.321619033813477,79.94145202636719,35.852447509765625,66.88018798828125,25.0,14.79525375366211,,63.953590393066406,45.31999969482422,,72.19159698486328,167.39154052734375,47.0,101.27879333496094,58.13996887207031,31.080060958862305
2015-01-13,61.72999954223633,40.649322509765625,38.59434127807617,42.04958724975586,86.01805114746094,,25.780628204345703,79.80067443847656,35.631431579589844,66.82460021972656,25.270000457763672,15.017735481262207,,64.9924087524414,45.63999938964844,,72.20027923583984,166.92076110839844,46.15999984741211,101.28832244873047,57.883358001708984,31.080060958862305
2015-01-14,60.41999816894531,40.56510925292969,38.191261291503906,41.917354583740234,85.15055847167969,,26.06781768798828,80.14796447753906,35.16868209838867,65.26838684082031,24.68000030517578,15.017735481262207,,64.15855407714844,45.040000915527344,,71.04705810546875,165.9129638671875,45.25,99.43890380859375,57.79231643676758,30.70538330078125
2015-01-15,59.06999969482422,39.09944152832031,37.93095397949219,41.51239776611328,85.25899505615234,,26.602136611938477,77.46354675292969,34.878604888916016,64.9071044921875,24.459999084472656,14.887955665588379,,62.7310676574707,44.68000030517578,,70.66557312011719,164.39308166503906,44.72999954223633,100.7258529663086,57.1715087890625,30.30868148803711
2015-01-16,59.13999938964844,39.489952087402344,38.174476623535156,41.45454406738281,86.00902557373047,,27.38356590270996,78.35521697998047,34.92694854736328,64.69409942626953,25.030000686645508,14.9899263381958,,63.54372787475586,44.849998474121094,,71.95746612548828,166.54905700683594,44.97999954223633,103.16629028320312,58.2475700378418,30.70979881286621
2015-01-20,58.72999954223633,40.14522933959961,38.107303619384766,40.082645416259766,85.6114273071289,,27.296743392944336,78.78697967529297,35.292999267578125,62.859981536865234,24.850000381469727,14.878684043884277,,62.78053665161133,45.0,,71.96614074707031,166.90415954589844,44.70000076293945,102.12718200683594,58.2475700378418,30.533475875854492
2015-01-21,58.130001068115234,40.95131301879883,38.317230224609375,41.15702438354492,85.0963363647461,,27.483753204345703,78.91837310791016,35.76955795288086,64.1660385131836,24.780000686645508,14.702549934387207,,62.48371505737305,44.9900016784668,,72.14822387695312,167.74671936035156,44.709999084472656,103.23307800292969,58.36345291137695,30.731828689575195
2015-01-22,59.38999938964844,41.11385726928711,38.83787536621094,41.611568450927734,85.9819107055664,,29.173519134521484,80.44831085205078,36.25993728637695,65.21277618408203,25.329999923706055,14.915764808654785,,63.7557487487793,45.79999923706055,,73.81299591064453,170.24127197265625,45.529998779296875,105.2159423828125,59.05873107910156,31.309255599975586
2015-01-23,60.41999816894531,40.65597915649414,38.94703674316406,39.6694221496582,85.59333801269531,,28.826210021972656,82.07210540771484,36.88153839111328,63.5825080871582,25.469999313354492,14.758171081542969,,63.918270111083984,45.70000076293945,,73.27542114257812,169.3079071044922,43.880001068115234,101.53617858886719,58.71936798095703,31.26517677307129
2015-01-26,61.220001220703125,40.807559967041016,39.26612854003906,40.70248031616211,85.81924438476562,,29.10004425048828,81.93132781982422,36.950599670410156,67.62126159667969,25.700000762939453,14.730360984802246,,64.1373291015625,46.04999923706055,,73.4834976196289,169.70436096191406,44.40999984741211,102.80404663085938,59.0256233215332,31.428274154663086
2015-01-27,60.66999816894531,39.71085739135742,38.728694915771484,40.735538482666016,84.91561889648438,,29.213584899902344,81.35877990722656,36.88153839111328,67.0839614868164,25.40999984741211,14.758171081542969,,64.08787536621094,45.599998474121094,,73.44883728027344,167.46588134765625,43.599998474121094,101.85076141357422,58.60348892211914,31.17702865600586
2015-01-28,59.08000183105469,39.295284271240234,37.92256164550781,39.80991744995117,83.74085998535156,,29.340484619140625,80.59848022460938,36.63290023803711,66.23178100585938,24.549999237060547,14.832332611083984,,63.614402770996094,44.90999984741211,,70.92568969726562,165.3181915283203,42.95000076293945,100.74491882324219,57.75919723510742,30.771495819091797
2015-01-29,58.95000076293945,39.74532699584961,37.68742370605469,39.85950469970703,84.23786926269531,,29.888154983520508,81.25550842285156,37.44097900390625,66.87091827392578,24.68000030517578,14.850872039794922,,63.571983337402344,44.209999084472656,,67.01522827148438,166.84634399414062,43.38999938964844,100.51612854003906,58.2475700378418,31.19025993347168
