Date,ACHC,BKNG,BUD,CELH,CRWD,DUOL,ELF,ETSY,EXPE,GOOGL,HIMS,KDP,LULU,LYV,MNST,NVDA,ONON,PANW,PEP,PLNT,RBLX,ROST,SAM,STZ,TAP,TJX,TTWO,VST
2019-01-02,25.860000610351562,67.4355239868164,58.97414779663086,1.149999976158142,,,9.170000076293945,47.0,108.94536590576172,52.2705078125,,20.91111946105957,123.3499984741211,48.310001373291016,24.3799991607666,3.3730525970458984,,30.53499984741211,86.69365692138672,53.58000183105469,,77.88245391845703,235.02999877929688,143.22653198242188,46.31696701049805,40.39141845703125,104.01000213623047,19.090599060058594
2019-01-03,25.399999618530273,65.14107513427734,59.430477142333984,1.1333329677581787,,,9.010000228881836,46.029998779296875,105.5791244506836,50.82284164428711,,20.836231231689453,124.36000061035156,47.689998626708984,24.0,3.169262170791626,,29.950000762939453,85.88446807861328,52.79999923706055,,77.23174285888672,234.74000549316406,141.09617614746094,46.94976806640625,39.966339111328125,99.1500015258789,18.91147232055664
2019-01-04,26.139999389648438,67.27296447753906,61.81950378417969,1.1266670227050781,,,9.34000015258789,49.70000076293945,110.02528381347656,53.42972183227539,,21.26893424987793,128.5500030517578,50.0,24.895000457763672,3.3723089694976807,,30.731666564941406,87.6456527709961,54.91999816894531,,79.33264923095703,245.8800048828125,145.4792022705078,48.442569732666016,41.06068420410156,101.69999694824219,19.679189682006836
2019-01-07,26.299999237060547,67.04854583740234,62.096885681152344,1.2166670560836792,,,9.6899995803833,51.56999969482422,111.4554443359375,53.323177337646484,,21.535205841064453,134.10000610351562,50.900001525878906,24.864999771118164,3.550841808319092,,31.225000381469727,86.8919906616211,55.84000015258789,,82.66993713378906,244.50999450683594,148.53509521484375,48.337093353271484,42.16408157348633,104.41000366210938,20.011869430541992
2019-01-08,26.989999771118164,66.0732650756836,63.304832458496094,1.2599999904632568,,,9.970000267028809,53.880001068115234,113.80014038085938,53.79151916503906,,21.54352378845215,135.86000061035156,52.11000061035156,26.415000915527344,3.462442636489868,,31.738332748413086,87.72498321533203,57.619998931884766,,85.09619903564453,239.13999938964844,150.4734344482422,49.62705612182617,42.78813552856445,107.91999816894531,20.020397186279297
2019-01-09,27.5,64.60721588134766,62.848480224609375,1.25,,,9.829999923706055,52.77000045776367,111.5138168334961,53.60715103149414,,22.026159286499023,136.0,52.7400016784668,26.665000915527344,3.5305368900299072,,32.185001373291016,85.27365112304688,58.310001373291016,,83.98065948486328,233.4499969482422,131.78868103027344,49.489131927490234,42.7519416809082,107.45999908447266,19.883914947509766
2019-01-10,28.670000076293945,65.69763946533203,63.31377410888672,1.3233330249786377,,,8.199999809265137,51.34000015258789,111.10519409179688,53.46739196777344,,21.868051528930664,131.61000061035156,53.0099983215332,26.6299991607666,3.596155881881714,,32.66666793823242,85.79721069335938,58.630001068115234,,84.34321594238281,238.02999877929688,139.63800048828125,50.998146057128906,42.58916091918945,110.0,20.566335678100586
2019-01-11,29.030000686645508,65.24955749511719,65.97122192382812,1.2933330535888672,,,8.210000038146973,52.06999969482422,111.12466430664062,52.75570297241211,,22.467182159423828,132.16000366210938,53.470001220703125,27.184999465942383,3.685298442840576,,32.66166687011719,85.80516052246094,58.79999923706055,,84.78943634033203,239.6999969482422,139.00933837890625,51.3875732421875,42.92378616333008,109.02999877929688,20.293367385864258
2019-01-14,28.139999389648438,66.30670166015625,64.89750671386719,1.2000000476837158,,,8.3100004196167,52.040000915527344,112.08782196044922,52.113399505615234,,21.92630386352539,139.72999572753906,53.95000076293945,27.075000762939453,3.7251651287078857,,32.48833465576172,85.13875579833984,57.220001220703125,,84.250244140625,238.52000427246094,140.45001220703125,50.592498779296875,42.30878829956055,104.9800033569336,20.088642120361328
2019-01-15,28.770000457763672,66.51939392089844,64.88856506347656,1.213333010673523,,,8.300000190734863,54.33000183105469,113.5666275024414,53.848018646240234,,22.109365463256836,141.1300048828125,54.13999938964844,27.3799991607666,3.711050510406494,,33.36166763305664,86.463623046875,58.0,,84.45478820800781,238.22999572753906,140.16183471679688,50.6492919921875,42.79717254638672,106.48999786376953,20.242191314697266
2019-01-16,29.049999237060547,65.82453918457031,63.08113098144531,1.2066669464111328,,,8.119999885559082,54.529998779296875,112.85643005371094,53.9966926574707,,21.859737396240234,142.24000549316406,52.52000045776367,26.905000686645508,3.6855459213256836,,33.54999923706055,85.94793701171875,57.900001525878906,,83.89703369140625,234.55999755859375,139.59439086914062,49.700077056884766,42.98710250854492,105.93000030517578,20.685752868652344
2019-01-17,29.200000762939453,67.54558563232422,64.4053955078125,1.213333010673523,,,8.270000457763672,54.59000015258789,113.54717254638672,54.47297668457031,,21.868051528930664,145.13999938964844,53.119998931884766,27.135000228881836,3.756859540939331,,33.883331298828125,86.64608001708984,58.4900016784668,,84.40829467773438,236.11000061035156,140.01345825195312,50.121944427490234,43.41217803955078,105.37000274658203,20.99284553527832
2019-01-18,28.989999771118164,68.94583892822266,65.89965057373047,1.2300000190734863,,,8.359999656677246,55.83000183105469,115.26922607421875,54.87838363647461,,22.19257926940918,152.07000732421875,54.040000915527344,27.790000915527344,3.885869026184082,,33.883331298828125,87.32040405273438,58.5,,86.46273040771484,240.89999389648438,143.32260131835938,51.61473083496094,44.4613037109375,108.26000213623047,20.64310646057129
2019-01-22,28.31999969482422,66.93730163574219,65.76542663574219,1.2233330011367798,,,8.149999618530273,53.540000915527344,112.51589965820312,53.457481384277344,,22.09272575378418,149.47000122070312,52.869998931884766,27.739999771118164,3.6838128566741943,,33.83333206176758,87.19346618652344,58.189998626708984,,85.17987060546875,242.2100067138672,143.82899475097656,52.004154205322266,44.08144760131836,107.33000183105469,20.711345672607422
2019-01-23,27.889999389648438,68.32111358642578,66.1323013305664,1.1633330583572388,,,8.260000228881836,53.83000183105469,113.4887924194336,53.74394226074219,,22.059446334838867,149.85000610351562,52.79999923706055,27.59000015258789,3.6966888904571533,,34.28666687011719,87.84397888183594,57.79999923706055,,85.06834411621094,248.9600067138672,144.57989501953125,52.263771057128906,43.99101638793945,99.80999755859375,21.12079620361328
2019-01-24,27.780000686645508,70.3327865600586,66.43651580810547,1.25,,,8.239999771118164,54.34000015258789,114.23793029785156,53.72362518310547,,21.942943572998047,148.42999267578125,52.880001068115234,27.68000030517578,3.908402919769287,,35.07833480834961,86.86820220947266,57.619998931884766,,84.78012084960938,243.1199951171875,143.88136291503906,51.428138732910156,44.027191162109375,101.48999786376953,21.018430709838867
2019-01-25,27.559999465942383,70.58854675292969,66.98231506347656,1.2233330011367798,,,8.4399995803833,55.0,113.93634033203125,54.59142303466797,,21.88469696044922,151.88999938964844,53.38999938964844,27.924999237060547,3.9656026363372803,,34.95333480834961,86.74919891357422,57.56999969482422,,85.99791717529297,248.8699951171875,145.63636779785156,52.2475471496582,44.19902420043945,103.69999694824219,21.026960372924805
